Year,Beer,Wine,Spirits,All beverages
2017,83.5,148.3,80.8,90
2016,85,151.7,79.8,90.4
2015,85.8,144.8,77.9,89.6
2014,86.6,148.3,76.9,89.2
2013,88.2,144.8,76,89.6
2012,89,144.8,75,90
2011,88.2,141.4,73.1,88.1
2010,89.8,131,71.2,86.9
2009,92.1,134.5,70.2,88.1
2008,94.5,131,70.2,88.8
2007,95.3,131,69.2,88.8
2006,94.5,127.6,68.3,87.7
2005,94.5,124.1,67.3,86.5
2004,95.3,120.7,65.4,86.2
2003,95.3,117.2,64.4,85.4
2002,96.9,113.8,61.5,84.6
2001,96.9,106.9,61.5,83.8
2000,96.9,106.9,61.5,84.2
1999,96.9,106.9,60.6,83.5
1998,96.1,103.4,59.6,82.7
1997,96.1,103.4,59.6,82.7
1996,96.9,103.4,60.6,83.1
1995,97.6,100,60.6,82.7
1994,98.4,96.6,62.5,83.8
1993,99.2,96.6,65.4,85.8
1992,101.6,103.4,68.3,88.5
1991,101.6,103.4,68.3,88.5
1990,105.5,113.8,74,94.2
1989,103.9,117.2,75,93.5
1988,104.7,124.1,76,95.8
1987,105.5,131,79.8,98.1
1986,106.3,134.5,80.8,99.2
1985,104.7,131,87.5,100.8
1984,106.3,127.6,90.4,101.9
1983,107.9,124.1,92.3,103.5
1982,108.7,124.1,94.2,104.6
1981,109.4,120.7,98.1,106.2
1980,107.9,117.2,100,105.8
1979,105.5,106.9,100,103.8
1978,102.4,103.4,101,102.3
1977,100,100,100,100
