DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
1968/03/21 21:54:59.94,37.03783,-121.74067,11.690,4.30,ML,29,133,6,0.10,NCSN,1001511
1968/05/30 08:03:01.06,38.17216,-123.20567,4.792,4.20,ML,38,324,91,0.30,NCSN,1001643
1969/09/25 13:21:15.06,35.86583,-120.84100,5.609,4.09,Md,8,223,34,0.05,NCSN,1003106
1969/09/30 03:33:05.84,36.84683,-121.56350,5.264,4.00,Md,13,73,5,0.09,NCSN,1003117
1969/10/02 04:56:45.30,38.49783,-122.66400,0.153,5.60,ML,38,104,52,0.22,NCSN,1003129
1969/10/02 06:19:56.39,38.45000,-122.75350,5.037,5.70,ML,53,139,58,0.22,NCSN,1003132
1969/10/02 12:27:04.60,38.51150,-122.68800,-0.083,4.30,ML,53,106,53,0.27,NCSN,1003134
1969/10/02 20:56:31.40,36.96483,-121.45167,6.595,4.66,Md,21,69,7,0.09,NCSN,1003136
1969/10/27 10:59:42.73,36.78233,-121.37883,9.259,4.60,ML,23,47,6,0.09,NCSN,1003243
1969/10/29 20:00:54.14,36.82367,-121.54234,5.953,4.38,Md,12,59,4,0.07,NCSN,1003256
1969/11/03 04:28:28.81,34.96350,-121.34317,4.664,4.44,Md,6,310,125,0.19,NCSN,1003278
1969/11/03 05:01:46.11,36.52700,-120.70184,20.118,4.02,Md,10,228,43,0.06,NCSN,1003279
1969/11/15 20:58:03.20,36.76450,-121.36017,10.163,4.20,ML,32,78,6,0.21,NCSN,1003346
1969/11/17 20:49:19.27,36.43417,-120.99167,12.907,4.40,ML,25,125,21,0.17,NCSN,1003361
1969/11/19 05:31:26.02,35.04533,-121.36333,45.424,4.04,Md,13,306,117,0.27,NCSN,1003367
1969/11/19 06:28:50.26,36.46600,-121.49600,11.004,4.20,ML,25,166,13,0.14,NCSN,1003368
1970/01/06 02:29:07.27,36.54517,-121.07983,9.785,4.00,ML,23,74,14,0.07,NCSN,1003686
1970/01/06 02:56:06.30,36.54317,-121.08017,9.615,4.13,Md,19,72,14,0.06,NCSN,1003692
1970/03/24 03:52:33.88,36.31250,-118.43467,4.912,4.00,ML,15,197,181,0.21,NCSN,1004224
1970/03/31 07:02:28.31,36.84983,-121.40800,10.108,4.70,ML,39,62,8,0.10,NCSN,1004274
1970/04/19 23:43:33.11,36.59333,-121.19334,5.720,4.13,Md,19,86,6,0.05,NCSN,1004407
1970/05/02 21:34:28.75,36.29033,-118.89800,6.111,4.08,Md,9,255,144,0.30,NCSN,1004503
1970/05/18 20:10:47.64,36.44017,-118.39167,4.541,4.05,Md,9,271,192,0.17,NCSN,1004633
1970/05/19 03:47:16.59,36.04283,-120.62000,4.608,4.15,Md,9,149,12,0.07,NCSN,1004636
1970/06/12 16:03:36.47,37.80017,-121.93383,7.620,4.20,ML,7,103,9,0.02,NCSN,1004990
1970/07/30 14:13:20.76,36.58517,-121.28783,11.785,4.60,Md,32,51,7,0.08,NCSN,1005395
1970/08/04 04:14:23.72,36.75483,-122.02817,12.751,4.70,ML,54,205,31,0.09,NCSN,1005422
1970/08/05 06:47:34.11,35.81533,-119.89817,-0.472,4.07,Md,10,191,47,0.26,NCSN,1005428
1970/09/08 08:09:06.58,36.84566,-121.57616,5.992,4.01,Md,24,70,5,0.11,NCSN,1005652
1970/10/07 17:57:06.00,36.29650,-121.40650,9.343,4.22,Md,22,189,5,0.13,NCSN,1005805
1970/10/17 08:17:01.28,36.67433,-121.30100,7.068,4.30,Md,24,70,5,0.08,NCSN,1005842
